source.bytes,source.packets,destination.bytes,destination.packets,network.packets,event.duration,network.transport_tcp,network.transport_udp
0.002278472424675459,0.012151396870714615,0.0014666293880874971,0.0017309743775536903,0.00923288910850068,0.7722561923862653,1.0,0.0
0.06770885273470911,0.34398171803421457,0.04273329759537643,0.02427389650383431,0.24550400612200468,0.7728980286015404,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,6.40423924042063e-06,8.215880475370845e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.9626667399395578e-06,9.1489132006009e-06,1.1150123502289004e-05,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.9626667399395578e-06,9.1489132006009e-06,1.1150123502289004e-05,9.021250741772342e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.602266792871386e-05,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.9626667399395578e-06,9.1489132006009e-06,1.1150123502289004e-05,9.021250741772342e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,9.021250741772342e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.9626667399395578e-06,9.1489132006009e-06,1.1150123502289004e-05,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.4329114047389846e-07,7.901349023656638e-06,1.9626667399395578e-06,9.1489132006009e-06,1.1150123502289004e-05,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.829333401628447e-06,7.31913056048072e-06,8.802729080754477e-06,6.443750529837387e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
1.559493684309566e-07,6.145493685066275e-06,1.8960000707840027e-06,8.23402188054081e-06,9.389577686138108e-06,7.732500635804864e-08,1.0,0.0
3.0379747096939602e-09,0.0,2.400000089600003e-08,0.0,0.0,0.0,0.0,1.0
